Date,Ball1,Ball2,Ball3,Ball4,Ball5,xBall1,xBall2
16/05/2023,6,12,25,31,37,6,9
23/05/2023,1,35,36,38,39,3,10
30/05/2023,12,21,23,26,41,5,6
06/06/2023,2,16,22,28,46,4,8
13/06/2023,8,40,41,46,47,3,11
20/06/2023,2,5,11,27,38,10,12
27/06/2023,14,18,20,39,42,6,9
04/07/2023,1,13,16,23,27,10,11
11/07/2023,9,11,13,15,25,4,9
18/07/2023,21,29,31,46,49,5,6
25/07/2023,5,13,43,45,50,1,10
01/08/2023,3,8,10,31,36,2,3
08/08/2023,8,18,26,38,39,4,12
15/08/2023,14,24,31,44,45,7,11
22/08/2023,23,24,38,42,44,1,10
29/08/2023,14,24,29,45,48,3,9
05/09/2023,13,28,29,31,47,8,9
12/09/2023,17,18,40,43,50,9,11
19/09/2023,7,8,12,21,43,4,11
26/09/2023,16,23,30,37,41,2,9
03/10/2023,6,8,42,49,50,3,5
10/10/2023,11,16,22,34,46,2,5
17/10/2023,5,14,35,40,47,1,3
24/10/2023,6,13,15,20,40,2,8
31/10/2023,6,15,21,34,48,1,5
03/11/2023,6,21,23,31,39,1,5
07/11/2023,26,36,43,47,49,4,7
10/11/2023,1,17,22,29,31,5,6
14/11/2023,9,30,34,38,48,2,3
17/11/2023,4,14,15,20,28,7,9
21/11/2023,9,20,21,22,38,3,12
24/11/2023,16,27,33,34,39,2,7
28/11/2023,11,12,13,23,36,3,8
01/12/2023,23,32,38,45,49,1,9
05/12/2023,6,11,16,26,49,2,9
08/12/2023,2,8,28,32,37,3,6
12/12/2023,2,8,20,34,40,9,12
15/12/2023,7,15,17,18,39,1,10
19/12/2023,4,6,17,31,45,6,12
22/12/2023,4,6,12,31,38,2,12
26/12/2023,4,13,16,22,27,1,10
29/12/2023,2,21,34,40,48,2,6
02/01/2024,19,26,36,48,49,10,11
05/01/2024,11,30,32,45,47,3,10
09/01/2024,9,12,26,41,47,7,10
12/01/2024,3,31,34,43,45,6,9
16/01/2024,6,19,32,39,42,4,9
19/01/2024,10,12,18,33,47,7,10
23/01/2024,9,18,20,32,39,5,8
26/01/2024,18,23,35,37,41,6,7
30/01/2024,10,12,15,46,48,9,11
02/02/2024,13,17,21,30,39,8,11
06/02/2024,16,19,20,26,44,1,4
09/02/2024,4,10,11,20,22,7,10
13/02/2024,7,20,22,45,48,10,12
16/02/2024,7,11,17,18,34,3,5
20/02/2024,1,3,11,15,30,4,10
23/02/2024,10,19,22,37,41,2,6
27/02/2024,15,17,30,38,49,1,11
01/03/2024,13,26,30,34,41,3,7
05/03/2024,2,20,30,31,40,8,12
08/03/2024,2,11,17,23,49,4,12
12/03/2024,2,8,11,16,20,4,10
15/03/2024,16,20,25,30,49,3,10
19/03/2024,1,20,28,32,49,3,10
22/03/2024,5,17,36,37,50,1,6
26/03/2024,12,15,17,30,32,1,6
29/03/2024,7,11,30,31,39,5,10
02/04/2024,14,17,29,32,45,1,2
